experiment_timestamp,game_id,opening_name,opening_family,opening_moves_san,opening_fen,base_time_per_move,initial_clock_per_player,completed_game,result,termination_reason,dynamic_score,engine_plies_played,total_plies_from_start,engine_moves_uci,engine_moves_san,full_game_san,final_fen,final_evaluation_white_perspective,game_wall_time,dynamic_colour,dynamic_move_count,dynamic_total_nodes,dynamic_average_nodes_per_move,dynamic_total_cutoffs,dynamic_total_allocated_time,dynamic_total_decision_time,dynamic_average_decision_time_per_move,dynamic_average_completed_depth,dynamic_maximum_completed_depth,dynamic_depth_zero_fallbacks,dynamic_deadline_overruns,dynamic_quiet_positions,dynamic_normal_positions,dynamic_volatile_positions,dynamic_clock_used,dynamic_clock_remaining,fixed_colour,fixed_move_count,fixed_total_nodes,fixed_average_nodes_per_move,fixed_total_cutoffs,fixed_total_allocated_time,fixed_total_decision_time,fixed_average_decision_time_per_move,fixed_average_completed_depth,fixed_maximum_completed_depth,fixed_depth_zero_fallbacks,fixed_deadline_overruns,fixed_quiet_positions,fixed_normal_positions,fixed_volatile_positions,fixed_clock_used,fixed_clock_remaining
20260804_235614,t50ms_starting_position_dynamic_white,starting_position,starting_position,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,0.05,1.0,False,*,max_plies_truncation,,40,40,g1f3 g8f6 b1c3 b8c6 d2d4 c6d4 d1d4 d7d5 d4f6 g7f6 c3d5 d8d5 e2e4 d5e4 e1d2 f8h6 d2c3 e4f3 g2f3 h6c1 a1c1 c8d7 f1b5 d7b5 h1d1 a8d8 d1d8 e8d8 c1d1 d8e8 d1d8 e8d8 c3d4 e7e5 d4e4 b5c6 e4d3 c6f3 c2c4 h8e8,Nf3 Nf6 Nc3 Nc6 d4 Nxd4 Qxd4 d5 Qxf6 gxf6 Nxd5 Qxd5 e4 Qxe4+ Kd2 Bh6+ Kc3 Qxf3+ gxf3 Bxc1 Rxc1 Bd7 Bb5 Bxb5 Rhd1 Rd8 Rxd8+ Kxd8 Rd1+ Ke8 Rd8+ Kxd8 Kd4 e5+ Ke4 Bc6+ Kd3 Bxf3 c4 Re8,Nf3 Nf6 Nc3 Nc6 d4 Nxd4 Qxd4 d5 Qxf6 gxf6 Nxd5 Qxd5 e4 Qxe4+ Kd2 Bh6+ Kc3 Qxf3+ gxf3 Bxc1 Rxc1 Bd7 Bb5 Bxb5 Rhd1 Rd8 Rxd8+ Kxd8 Rd1+ Ke8 Rd8+ Kxd8 Kd4 e5+ Ke4 Bc6+ Kd3 Bxf3 c4 Re8,3kr3/ppp2p1p/5p2/4p3/2P5/3K1b2/PP3P1P/8 w - - 1 21,-1120,2.025042900000699,white,20,3479,173.95,480,0.9956341000017712,1.000193700005184,0.050009685000259194,1.65,3,0,20,6,7,7,1.0,0.0,black,20,3885,194.25,556,0.9979285999754214,1.000115500035463,0.050005775001773146,1.9,3,0,20,5,7,8,1.0,0.0
20260804_235614,t50ms_starting_position_dynamic_black,starting_position,starting_position,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,0.05,1.0,False,*,max_plies_truncation,,40,40,g1f3 g8f6 b1c3 b8c6 d2d4 c6d4 d1d4 d7d5 d4f6 g7f6 c3d5 d8d5 e2e4 d5e4 e1d2 f8h6 d2c3 h6c1 f1b5 c7c6 h1c1 c6b5 c1d1 e4f3 g2f3 b5b4 c3b4 a7a5 b4c3 c8e6 d1d4 a8c8 c3d3 c8c2 d3c2 e6a2 a1a2 e7e5 d4d5 h8g8,Nf3 Nf6 Nc3 Nc6 d4 Nxd4 Qxd4 d5 Qxf6 gxf6 Nxd5 Qxd5 e4 Qxe4+ Kd2 Bh6+ Kc3 Bxc1 Bb5+ c6 Rhxc1 cxb5 Rd1 Qxf3+ gxf3 b4+ Kxb4 a5+ Kc3 Be6 Rd4 Rc8+ Kd3 Rxc2 Kxc2 Bxa2 Rxa2 e5 Rd5 Rg8,Nf3 Nf6 Nc3 Nc6 d4 Nxd4 Qxd4 d5 Qxf6 gxf6 Nxd5 Qxd5 e4 Qxe4+ Kd2 Bh6+ Kc3 Bxc1 Bb5+ c6 Rhxc1 cxb5 Rd1 Qxf3+ gxf3 b4+ Kxb4 a5+ Kc3 Be6 Rd4 Rc8+ Kd3 Rxc2 Kxc2 Bxa2 Rxa2 e5 Rd5 Rg8,4k1r1/1p3p1p/5p2/p2Rp3/8/5P2/RPK2P1P/8 w - - 2 21,319,2.0260544000047958,black,20,3385,169.25,435,0.997163100007456,1.0002058999816654,0.05001029499908327,1.45,2,0,20,5,6,9,1.0,0.0,white,20,3547,177.35,549,0.9976486999832562,1.000116800016258,0.050005840000812894,1.8,3,0,20,4,7,9,1.0,0.0
