experiment_timestamp,position_name,position_description,position_source_type,setup_moves_san,position_fen,side_to_move,legal_moves_at_root,depth,runtime_repeats,score_equivalence_validated,minimax_best_move,minimax_score,minimax_nodes,minimax_time_median,minimax_time_min,minimax_time_max,minimax_time_runs,minimax_approximate_effective_branching_factor,alphabeta_best_move,alphabeta_score,alphabeta_nodes,alphabeta_cutoffs,alphabeta_time_median,alphabeta_time_min,alphabeta_time_max,alphabeta_time_runs,alphabeta_approximate_effective_branching_factor,ordered_best_move,ordered_score,ordered_nodes,ordered_cutoffs,ordered_time_median,ordered_time_min,ordered_time_max,ordered_time_runs,ordered_approximate_effective_branching_factor,alphabeta_node_reduction_percent,ordered_node_reduction_percent,ordering_extra_node_reduction_percent
20260804_170445,starting_position,Standard chess starting position,standard_start,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,white,20,1,3,True,g1f3,61,20,0.00566939999407623,0.005423700000392273,0.006768699997337535,0.006768700|0.005669400|0.005423700,20.0,g1f3,61,20,0,0.005964600000879727,0.005787800007965416,0.006933099997695535,0.005964600|0.006933100|0.005787800,20.0,g1f3,61,20,0,0.0061544999916804954,0.0054247999942163005,0.007093499996699393,0.007093500|0.006154500|0.005424800,20.0,0.0,0.0,0.0
20260804_170445,starting_position,Standard chess starting position,standard_start,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,white,20,2,3,True,g1f3,0,420,0.11922629999753553,0.1182146999926772,0.11960030000773259,0.118214700|0.119226300|0.119600300,20.493901531919196,g1f3,0,86,18,0.022684499999741092,0.021379600002546795,0.023415699994075112,0.021379600|0.023415700|0.022684500,9.273618495495704,g1f3,0,86,18,0.027630900003714487,0.023235100001329556,0.02883789999759756,0.027630900|0.028837900|0.023235100,9.273618495495704,79.52380952380952,79.52380952380952,0.0
20260804_170445,starting_position,Standard chess starting position,standard_start,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,white,20,3,3,True,g1f3,61,9322,2.8103956999984803,2.5550299000024097,2.9060517999896547,2.810395700|2.906051800|2.555029900,21.046006467975744,g1f3,61,858,54,0.27223299999604933,0.25237149999884423,0.34305169999424834,0.272233000|0.252371500|0.343051700,9.502307841894304,g1f3,61,857,54,0.273943699998199,0.23661929999070708,0.28755339999042917,0.287553400|0.273943700|0.236619300,9.498614756469134,90.79596653078738,90.80669384252306,0.11655011655011654
20260804_170445,starting_position,Standard chess starting position,standard_start,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,white,20,4,3,True,g1f3,0,206603,44.48817910000798,44.34765999999945,49.0283400999906,49.028340100|44.347660000|44.488179100,21.319850542979058,g1f3,0,3989,766,0.8120155000069644,0.8038035999925341,0.8230212000053143,0.823021200|0.812015500|0.803803600,7.947234154003046,g1f3,0,3833,764,0.8542854999977862,0.8385976999998093,0.8598036000039428,0.859803600|0.854285500|0.838597700,7.868368748899382,98.06924391223748,98.14475104427332,3.910754575081474
20260804_170445,early_opening,Early Ruy Lopez opening position,san_sequence,e4 e5 Nf3 Nc6 Bb5 a6,r1bqkbnr/1ppp1ppp/p1n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,white,32,1,3,True,b5c6,380,32,0.008670700000948273,0.008579500004998408,0.008960399994975887,0.008960400|0.008579500|0.008670700,32.0,b5c6,380,32,0,0.008469899999909103,0.008089899987680838,0.010109999988344498,0.008089900|0.010110000|0.008469900,32.0,b5c6,380,32,0,0.008730400004424155,0.008458800002699718,0.008952300006058067,0.008952300|0.008730400|0.008458800,32.0,0.0,0.0,0.0
20260804_170445,early_opening,Early Ruy Lopez opening position,san_sequence,e4 e5 Nf3 Nc6 Bb5 a6,r1bqkbnr/1ppp1ppp/p1n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,white,32,2,3,True,b5c6,-25,1051,0.2944392999925185,0.2905090999993263,0.29619199999433476,0.294439300|0.290509100|0.296192000,32.41913015489465,b5c6,-25,276,31,0.07624629999918398,0.07478150000679307,0.07646889999159612,0.074781500|0.076246300|0.076468900,16.61324772583615,b5c6,-25,124,31,0.03527340000437107,0.03432489999977406,0.03569069999502972,0.034324900|0.035273400|0.035690700,11.135528725660043,73.73929590865842,88.20171265461465,55.072463768115945
20260804_170445,early_opening,Early Ruy Lopez opening position,san_sequence,e4 e5 Nf3 Nc6 Bb5 a6,r1bqkbnr/1ppp1ppp/p1n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,white,32,3,3,True,b5a4,156,33698,8.90921700000763,8.842692699996405,8.978549299994484,8.978549300|8.842692700|8.909217000,32.29991469271721,b5a4,156,6159,440,1.4984220000042114,1.4919697000004817,1.5160021000046981,1.498422000|1.516002100|1.491969700,18.330320900816705,b5a4,156,1235,83,0.32440450000285637,0.32263889999012463,0.32620589999714866,0.324404500|0.326205900|0.322638900,10.728911243277834,81.72295091696837,96.33509407086474,79.9480435135574
20260804_170445,early_opening,Early Ruy Lopez opening position,san_sequence,e4 e5 Nf3 Nc6 Bb5 a6,r1bqkbnr/1ppp1ppp/p1n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,white,32,4,3,True,b5c6,-41,1047010,456.3040151000023,351.8108881999942,1293.4494945000042,351.810888200|456.304015100|1293.449494500,31.988045671114442,b5c6,-41,17212,1904,4.706038800009992,4.641044200005126,26.75880519999191,4.706038800|4.641044200|26.758805200,11.454017290031729,b5c6,-41,3188,1087,0.8800701000000117,0.8781992000003811,1.1751256999996258,0.880070100|0.878199200|1.175125700,7.514145117973994,98.3560806487044,99.69551389193991,81.47803857773647
20260804_170445,middlegame,Ruy Lopez middlegame-like position,san_sequence,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O Be7 Re1 b5 Bb3 d6 c3 O-O h3,r1bq1rk1/2p1bppp/p1np1n2/1p2p3/4P3/1BP2N1P/PP1P1PP1/RNBQR1K1 b - - 0 9,black,30,1,3,True,f6e4,-219,30,0.04120060001150705,0.037386100011644885,0.04217729999800213,0.037386100|0.042177300|0.041200600,30.0,f6e4,-219,30,0,0.0397205000044778,0.03512770000088494,0.04126959999848623,0.035127700|0.041269600|0.039720500,30.0,f6e4,-219,30,0,0.038986999992630444,0.02934399999503512,0.04760649999661837,0.029344000|0.038987000|0.047606500,30.0,0.0,0.0,0.0
20260804_170445,middlegame,Ruy Lopez middlegame-like position,san_sequence,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O Be7 Re1 b5 Bb3 d6 c3 O-O h3,r1bq1rk1/2p1bppp/p1np1n2/1p2p3/4P3/1BP2N1P/PP1P1PP1/RNBQR1K1 b - - 0 9,black,30,2,3,True,d6d5,86,870,1.1852275999990525,1.1836275000096066,1.188082199994824,1.183627500|1.185227600|1.188082200,29.49576240750525,d6d5,86,236,27,0.33633049999480136,0.31620220000331756,0.345625400004792,0.345625400|0.316202200|0.336330500,15.362291495737216,d6d5,86,196,25,0.27150889999757055,0.2690519000025233,0.27864729998691473,0.271508900|0.278647300|0.269051900,14.0,72.8735632183908,77.47126436781609,16.949152542372882
