depth,minimax_best_move,minimax_score,minimax_nodes,minimax_time,minimax_effective_branching_factor,alphabeta_best_move,alphabeta_score,alphabeta_nodes,alphabeta_cutoffs,alphabeta_time,alphabeta_effective_branching_factor,node_reduction_percent
1,g1f3,61,20,0.0021712779998779297,20.0,g1f3,61,20,0,0.0021250247955322266,20.0,0.0
2,g1f3,0,420,0.04065585136413574,20.493901531919196,g1f3,0,86,18,0.006759166717529297,9.273618495495704,79.52380952380953
3,g1f3,61,9322,0.9409396648406982,21.046006467975744,g1f3,61,858,54,0.08042049407958984,9.502307841894304,90.79596653078738
4,g1f3,0,206603,25.73135495185852,21.319850542979058,g1f3,0,4091,766,0.3618185520172119,7.997557475366434,98.0198738643679
