experiment_timestamp,game_id,opening_name,opening_family,opening_moves_san,opening_fen,opening_plies,white_depth,black_depth,white_algorithm,black_algorithm,completed_game,result,termination_reason,engine_plies_played,total_plies_from_start,engine_moves_uci,engine_moves_san,full_game_san,final_fen,final_evaluation_white_perspective,white_move_count,black_move_count,total_white_nodes,total_black_nodes,average_white_nodes_per_move,average_black_nodes_per_move,maximum_white_nodes_for_one_move,maximum_black_nodes_for_one_move,total_white_cutoffs,total_black_cutoffs,total_white_time,total_black_time,average_white_time_per_move,average_black_time_per_move,maximum_white_time_for_one_move,maximum_black_time_for_one_move,white_move_nodes,black_move_nodes,white_move_times,black_move_times,game_search_time,game_wall_time,challenger_depth,baseline_depth,challenger_color,challenger_score,challenger_move_count,baseline_move_count,challenger_total_nodes,baseline_total_nodes,challenger_average_nodes_per_move,baseline_average_nodes_per_move,challenger_total_cutoffs,baseline_total_cutoffs,challenger_total_time,baseline_total_time,challenger_average_time_per_move,baseline_average_time_per_move
20260804_220230,d2_starting_position_challenger_white,starting_position,starting_position,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,0,2,2,ordered,ordered,False,*,max_plies_truncation,40,40,g1f3 g8f6 b1c3 b8c6 e2e3 e7e6 f1d3 h7h5 h2h4 f8c5 b2b4 c6b4 d3c4 c7c6 e1e2 d8c7 c1b2 c7d6 d2d4 c5b6 e3e4 d6f4 f3e1 f4g4 f2f3 g4f4 e2f1 a7a5 g2g4 h5g4 e1g2 f4d6 f3g4 a5a4 g2e3 d6f4 f1g2 f4e3 c3a4 a8a4,Nf3 Nf6 Nc3 Nc6 e3 e6 Bd3 h5 h4 Bc5 b4 Nxb4 Bc4 c6 Ke2 Qc7 Bb2 Qd6 d4 Bb6 e4 Qf4 Ne1 Qg4+ f3 Qf4 Kf1 a5 g4 hxg4 Ng2 Qd6 fxg4 a4 Ne3 Qf4+ Kg2 Qxe3 Nxa4 Rxa4,Nf3 Nf6 Nc3 Nc6 e3 e6 Bd3 h5 h4 Bc5 b4 Nxb4 Bc4 c6 Ke2 Qc7 Bb2 Qd6 d4 Bb6 e4 Qf4 Ne1 Qg4+ f3 Qf4 Kf1 a5 g4 hxg4 Ng2 Qd6 fxg4 a4 Ne3 Qf4+ Kg2 Qxe3 Nxa4 Rxa4,2b1k2r/1p1p1pp1/1bp1pn2/8/rnBPP1PP/4q3/PBP3K1/R2Q3R w k - 0 21,-680,20,20,4943,4283,247.15,214.15,455,361,551,715,0.6796536999754608,0.5877328000351554,0.033982684998773036,0.02938664000175777,0.06462900000042282,0.0470872000005329,86|119|311|196|222|143|280|265|348|288|414|193|134|233|455|397|122|317|62|358,118|98|211|272|238|108|330|330|324|163|289|104|210|299|134|290|361|98|154|152,0.009030200|0.012924400|0.034179500|0.024394700|0.028082700|0.021429400|0.037312100|0.036621500|0.046478400|0.039801100|0.055805300|0.029585700|0.017987100|0.033834900|0.064629000|0.056625300|0.019560800|0.047723500|0.009243900|0.054404200,0.013679500|0.010782300|0.025031100|0.036088300|0.031356800|0.016270800|0.043309100|0.041521600|0.042497200|0.024331000|0.039374100|0.014799400|0.030411400|0.040946100|0.020483400|0.041151700|0.047087200|0.021048000|0.025707900|0.021855900,1.2673865000106161,1.2753076999943005,2,2,white,,20,20,4943,4283,247.15,214.15,551,715,0.6796536999754608,0.5877328000351554,0.033982684998773036,0.02938664000175777
20260804_220230,d2_starting_position_challenger_black,starting_position,starting_position,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,0,2,2,ordered,ordered,False,*,max_plies_truncation,40,40,g1f3 g8f6 b1c3 b8c6 e2e3 e7e6 f1d3 h7h5 h2h4 f8c5 b2b4 c6b4 d3c4 c7c6 e1e2 d8c7 c1b2 c7d6 d2d4 c5b6 e3e4 d6f4 f3e1 f4g4 f2f3 g4f4 e2f1 a7a5 g2g4 h5g4 e1g2 f4d6 f3g4 a5a4 g2e3 d6f4 f1g2 f4e3 c3a4 a8a4,Nf3 Nf6 Nc3 Nc6 e3 e6 Bd3 h5 h4 Bc5 b4 Nxb4 Bc4 c6 Ke2 Qc7 Bb2 Qd6 d4 Bb6 e4 Qf4 Ne1 Qg4+ f3 Qf4 Kf1 a5 g4 hxg4 Ng2 Qd6 fxg4 a4 Ne3 Qf4+ Kg2 Qxe3 Nxa4 Rxa4,Nf3 Nf6 Nc3 Nc6 e3 e6 Bd3 h5 h4 Bc5 b4 Nxb4 Bc4 c6 Ke2 Qc7 Bb2 Qd6 d4 Bb6 e4 Qf4 Ne1 Qg4+ f3 Qf4 Kf1 a5 g4 hxg4 Ng2 Qd6 fxg4 a4 Ne3 Qf4+ Kg2 Qxe3 Nxa4 Rxa4,2b1k2r/1p1p1pp1/1bp1pn2/8/rnBPP1PP/4q3/PBP3K1/R2Q3R w k - 0 21,-680,20,20,4943,4283,247.15,214.15,455,361,551,715,0.6706627999810735,0.5770747000351548,0.03353313999905368,0.02885373500175774,0.061209399995277636,0.04765999999654014,86|119|311|196|222|143|280|265|348|288|414|193|134|233|455|397|122|317|62|358,118|98|211|272|238|108|330|330|324|163|289|104|210|299|134|290|361|98|154|152,0.009202000|0.012601600|0.034235900|0.023855600|0.027784000|0.020507100|0.036367600|0.036737600|0.047034000|0.041615500|0.055442000|0.029714300|0.018176000|0.033159600|0.061209400|0.055960700|0.020195300|0.044239700|0.008942700|0.053682200,0.012718000|0.010295400|0.025910700|0.034013600|0.030972300|0.016517600|0.043001700|0.041610100|0.043132700|0.023578000|0.039663200|0.014804100|0.028823100|0.039012100|0.020047300|0.042194800|0.047660000|0.015735600|0.023648600|0.023735800,1.2477375000162283,1.255673100007698,2,2,black,,20,20,4283,4943,214.15,247.15,715,551,0.5770747000351548,0.6706627999810735,0.02885373500175774,0.03353313999905368
20260804_220230,d2_open_game_challenger_white,open_game,open_game,e4 e5,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,2,2,2,ordered,ordered,False,*,max_plies_truncation,40,42,b1c3 b8c6 g1f3 g8f6 d2d4 e5d4 c3b5 f8b4 c2c3 d4c3 b2c3 f6e4 c3b4 c6b4 d1d4 b4c2 e1d1 c2d4 b5d4 e4f2 d1c2 f2h1 c1f4 d7d5 f1b5 c7c6 a1e1 e8f8 b5d3 h1f2 d3e2 c6c5 d4b5 c8f5 c2b3 d8e7 b5a7 a8a7 a2a4 f2e4,Nc3 Nc6 Nf3 Nf6 d4 exd4 Nb5 Bb4+ c3 dxc3 bxc3 Nxe4 cxb4 Nxb4 Qd4 Nc2+ Kd1 Nxd4 Nbxd4 Nxf2+ Kc2 Nxh1 Bf4 d5 Bb5+ c6 Re1+ Kf8 Bd3 Nf2 Be2 c5 Nb5 Bf5+ Kb3 Qe7 Nxa7 Rxa7 a4 Ne4,e4 e5 Nc3 Nc6 Nf3 Nf6 d4 exd4 Nb5 Bb4+ c3 dxc3 bxc3 Nxe4 cxb4 Nxb4 Qd4 Nc2+ Kd1 Nxd4 Nbxd4 Nxf2+ Kc2 Nxh1 Bf4 d5 Bb5+ c6 Re1+ Kf8 Bd3 Nf2 Be2 c5 Nb5 Bf5+ Kb3 Qe7 Nxa7 Rxa7 a4 Ne4,5k1r/rp2qppp/8/2pp1b2/P3nB2/1K3N2/4B1PP/4R3 w - - 1 22,-1442,20,20,3433,3268,171.65,163.4,495,407,608,575,0.4486915999877965,0.4434897999599343,0.022434579999389824,0.022174489997996715,0.060451500001363456,0.0624997999984771,156|130|200|138|79|119|118|235|76|97|97|322|103|111|175|198|243|98|243|495,190|122|97|63|116|131|110|78|108|67|97|316|112|65|407|390|79|222|138|360,0.019479700|0.017148100|0.024773000|0.019039800|0.010557400|0.016846200|0.017683900|0.033045800|0.009570700|0.013314300|0.011425700|0.037853100|0.014803300|0.016146100|0.022524300|0.026798000|0.031322800|0.012333200|0.033574700|0.060451500,0.023873600|0.015928200|0.013009100|0.009565900|0.016829200|0.019226000|0.016603900|0.013297600|0.016941300|0.009088500|0.013035800|0.038911700|0.014353600|0.008111800|0.062499800|0.048354600|0.012435400|0.029129100|0.020155300|0.042139400,0.8921813999477308,0.8998113000125159,2,2,white,,20,20,3433,3268,171.65,163.4,608,575,0.4486915999877965,0.4434897999599343,0.022434579999389824,0.022174489997996715
20260804_220230,d2_open_game_challenger_black,open_game,open_game,e4 e5,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,2,2,2,ordered,ordered,False,*,max_plies_truncation,40,42,b1c3 b8c6 g1f3 g8f6 d2d4 e5d4 c3b5 f8b4 c2c3 d4c3 b2c3 f6e4 c3b4 c6b4 d1d4 b4c2 e1d1 c2d4 b5d4 e4f2 d1c2 f2h1 c1f4 d7d5 f1b5 c7c6 a1e1 e8f8 b5d3 h1f2 d3e2 c6c5 d4b5 c8f5 c2b3 d8e7 b5a7 a8a7 a2a4 f2e4,Nc3 Nc6 Nf3 Nf6 d4 exd4 Nb5 Bb4+ c3 dxc3 bxc3 Nxe4 cxb4 Nxb4 Qd4 Nc2+ Kd1 Nxd4 Nbxd4 Nxf2+ Kc2 Nxh1 Bf4 d5 Bb5+ c6 Re1+ Kf8 Bd3 Nf2 Be2 c5 Nb5 Bf5+ Kb3 Qe7 Nxa7 Rxa7 a4 Ne4,e4 e5 Nc3 Nc6 Nf3 Nf6 d4 exd4 Nb5 Bb4+ c3 dxc3 bxc3 Nxe4 cxb4 Nxb4 Qd4 Nc2+ Kd1 Nxd4 Nbxd4 Nxf2+ Kc2 Nxh1 Bf4 d5 Bb5+ c6 Re1+ Kf8 Bd3 Nf2 Be2 c5 Nb5 Bf5+ Kb3 Qe7 Nxa7 Rxa7 a4 Ne4,5k1r/rp2qppp/8/2pp1b2/P3nB2/1K3N2/4B1PP/4R3 w - - 1 22,-1442,20,20,3433,3268,171.65,163.4,495,407,608,575,0.45105600006354507,0.43686990000423975,0.022552800003177255,0.021843495000211988,0.06060950001119636,0.053071800008183345,156|130|200|138|79|119|118|235|76|97|97|322|103|111|175|198|243|98|243|495,190|122|97|63|116|131|110|78|108|67|97|316|112|65|407|390|79|222|138|360,0.018418800|0.016106500|0.024828800|0.019868700|0.010234300|0.016344500|0.017198300|0.031065700|0.009798600|0.013811200|0.011191900|0.039669700|0.014181400|0.015162900|0.023209300|0.025235500|0.038127500|0.012178200|0.033814700|0.060609500,0.023498900|0.015042100|0.014444700|0.009775200|0.016637000|0.018756500|0.015835100|0.012732200|0.016616500|0.009796000|0.012670200|0.039836700|0.013417100|0.008363300|0.053071800|0.048127100|0.012990400|0.031953500|0.018683000|0.044622600,0.8879259000677848,0.8953632000047946,2,2,black,,20,20,3268,3433,163.4,171.65,575,608,0.43686990000423975,0.45105600006354507,0.021843495000211988,0.022552800003177255
