position_name,position_description,legal_moves_at_root,depth,minimax_best_move,minimax_score,minimax_nodes,minimax_time,minimax_effective_branching_factor,alphabeta_best_move,alphabeta_score,alphabeta_nodes,alphabeta_cutoffs,alphabeta_time,alphabeta_effective_branching_factor,ordered_best_move,ordered_score,ordered_nodes,ordered_cutoffs,ordered_time,ordered_effective_branching_factor,alphabeta_node_reduction_percent,ordered_node_reduction_percent,ordering_extra_node_reduction_percent
starting_position,Standard chess starting position,20,1,g1f3,61,20,0.002696990966796875,20.0,g1f3,61,20,0,0.0020194053649902344,20.0,g1f3,61,20,0,0.0020782947540283203,20.0,0.0,0.0,0.0
starting_position,Standard chess starting position,20,2,g1f3,0,420,0.03966188430786133,20.493901531919196,g1f3,0,86,18,0.0077342987060546875,9.273618495495704,g1f3,0,86,18,0.00878143310546875,9.273618495495704,79.52380952380953,79.52380952380953,0.0
starting_position,Standard chess starting position,20,3,g1f3,61,9322,0.9277186393737793,21.046006467975744,g1f3,61,858,54,0.07915639877319336,9.502307841894304,g1f3,61,857,54,0.08796191215515137,9.498614756469134,90.79596653078738,90.80669384252306,0.11655011655011815
starting_position,Standard chess starting position,20,4,g1f3,0,206603,20.907761335372925,21.319850542979058,g1f3,0,4091,766,0.34053659439086914,7.997557475366434,g1f3,0,3915,764,0.4006669521331787,7.910117625158468,98.0198738643679,98.1050613979468,4.302126619408453
early_opening,Early Ruy Lopez opening position,32,1,b5c6,380,32,0.003656148910522461,32.0,b5c6,380,32,0,0.0041730403900146484,32.0,b5c6,380,32,0,0.003808736801147461,32.0,0.0,0.0,0.0
early_opening,Early Ruy Lopez opening position,32,2,b5c6,-25,1051,0.11885571479797363,32.41913015489465,b5c6,-25,270,31,0.028103113174438477,16.431676725154983,b5c6,-25,124,31,0.015717744827270508,11.135528725660043,74.31018078020932,88.20171265461465,54.074074074074076
early_opening,Early Ruy Lopez opening position,32,3,b5a4,156,33698,3.903313636779785,32.29991469271721,b5a4,156,6159,440,0.6613655090332031,18.330320900816705,b5a4,156,1235,83,0.14641499519348145,10.728911243277834,81.72295091696836,96.33509407086474,79.9480435135574
early_opening,Early Ruy Lopez opening position,32,4,b5c6,-41,1047010,119.35787034034729,31.988045671114442,b5c6,-41,17186,1904,1.8285813331604004,11.449689302374589,b5c6,-41,3229,1087,0.4295988082885742,7.538188813017454,98.35856391056437,99.69159797900689,81.211451181194
middlegame,Ruy Lopez middlegame-like position,30,1,f6e4,-209,30,0.0031614303588867188,30.0,f6e4,-209,30,0,0.003035306930541992,30.0,f6e4,-209,30,0,0.0034596920013427734,30.0,0.0,0.0,0.0
middlegame,Ruy Lopez middlegame-like position,30,2,d6d5,96,870,0.09830260276794434,29.49576240750525,d6d5,96,210,28,0.0210573673248291,14.491376746189438,d6d5,96,169,26,0.021020174026489258,13.0,75.86206896551724,80.57471264367815,19.523809523809522
middlegame,Ruy Lopez middlegame-like position,30,3,c8d7,-179,25996,2.7679951190948486,29.623441377404845,c8d7,-179,11073,425,1.1905629634857178,22.288889610478755,c8d7,-179,3758,336,0.43125271797180176,15.547202620554877,57.40498538236651,85.5439298353593,66.06159125801499
middlegame,Ruy Lopez middlegame-like position,30,4,c8e6,80,778716,84.2413637638092,29.706040890264717,c8e6,80,41142,5263,3.9824562072753906,14.24201208531303,c8e6,80,15509,2484,1.8459398746490479,11.15953115522219,94.71668747014316,98.00838816718804,62.30372854990034
simple_endgame,Simple rook and kings endgame position,13,1,e1d1,526,13,0.0008349418640136719,13.0,e1d1,526,13,0,0.0008766651153564453,13.0,e1d1,526,13,0,0.0008904933929443359,13.0,0.0,0.0,0.0
simple_endgame,Simple rook and kings endgame position,13,2,e1d1,542,79,0.004453182220458984,8.888194417315589,e1d1,542,43,10,0.002184629440307617,6.557438524302,e1d1,542,43,10,0.0025947093963623047,6.557438524302,45.56962025316456,45.56962025316456,0.0
simple_endgame,Simple rook and kings endgame position,13,3,e1d1,574,1365,0.08333659172058105,11.092877501969673,e1d1,574,700,16,0.04223060607910156,8.879040017426005,e1d1,574,704,16,0.04563546180725098,8.895920362277261,48.71794871794872,48.424908424908416,-0.5714285714285783
simple_endgame,Simple rook and kings endgame position,13,4,e3d3,567,9038,0.5051929950714111,9.750302376398439,e3d3,567,1104,407,0.047629356384277344,5.764242834204012,e3d3,567,1023,392,0.05624103546142578,5.655472675509886,87.78490816552335,88.6811241425094,7.336956521739135
