challenger_depth,baseline_depth,scheduled_games,completed_games,truncated_games,challenger_wins,draws,challenger_losses,completed_score,challenger_total_nodes,baseline_total_nodes,challenger_total_moves,baseline_total_moves,challenger_total_search_time,baseline_total_search_time,total_game_wall_time,completed_score_rate,score_rate_if_truncations_count_as_half,challenger_weighted_average_nodes_per_move,baseline_weighted_average_nodes_per_move,challenger_weighted_average_time_per_move,baseline_weighted_average_time_per_move
2,2,24,24,0,4,16,4,12.0,108679,108679,625,625,18.199168099701637,18.315563999814913,36.835277300007874,0.5,0.5,173.8864,173.8864,0.02911866895952262,0.02930490239970386
3,2,24,24,0,20,3,1,21.5,1176967,96108,578,569,153.84073689978686,13.440266000165138,167.51164159998007,0.8958333333333334,0.8958333333333334,2036.2750865051903,168.90685413005272,0.26616044446329906,0.02362085413034295
4,2,24,24,0,17,7,0,20.5,5084295,95433,635,627,1451.757863900013,27.345673800329678,1479.6171548999992,0.8541666666666666,0.8541666666666666,8006.763779527559,152.20574162679426,2.2862328565354537,0.04361351483306169
