experiment_timestamp,game_id,opening_name,base_time_per_move,engine_ply_index,total_ply_from_start,side,strategy,dynamic_colour,fen_before_move,move_uci,move_san,score_white_perspective,initial_clock,clock_before,allocated_decision_time,policy_analysis_time,search_time,decision_time_charged,deadline_overrun,clock_after,completed_depth,attempted_depth,timed_out,nodes,cutoffs,iteration_nodes,volatility_score,volatility_class,time_multiplier,in_check,legal_move_count,capture_move_count,checking_move_count,absolute_evaluation_swing,diagnostic_volatility_time_not_charged
20260804_233332,t20ms_starting_position_dynamic_white,starting_position,0.02,12,12,black,fixed,white,r1bqkb1r/ppp2ppp/5p2/3N4/8/5N2/PPP1PPPP/R1B1KB1R b KQkq - 0 6,d8d5,Qxd5,-662,0.2,0.09965430002484937,0.02,0.0,0.020221399987349287,0.02022239999496378,0.00022239999496377963,0.0794319000298856,1,2,True,60,0,28,0.3473333333333334,normal,1.0,False,28,1,1,164,0.000731200008885935
20260804_233332,t20ms_starting_position_dynamic_white,starting_position,0.02,13,13,white,dynamic,white,r1b1kb1r/ppp2ppp/5p2/3q4/8/5N2/PPP1PPPP/R1B1KB1R w KQkq - 0 7,e2e4,e4,-615,0.2,0.08721290003741161,0.02,0.0006653000018559396,0.019562800007406622,0.020230200010701083,0.00023020001070108223,0.06698270002671053,1,2,True,55,0,25,0.2,normal,1.0,False,25,0,0,456,0.0
20260804_233332,t20ms_starting_position_dynamic_white,starting_position,0.02,14,14,black,fixed,white,r1b1kb1r/ppp2ppp/5p2/3q4/4P3/5N2/PPP2PPP/R1B1KB1R b KQkq - 0 7,d5e4,Qxe4+,-810,0.2,0.0794319000298856,0.02,0.0,0.020181900006718934,0.02018310000130441,0.00018310000130440998,0.05924880002858118,1,2,True,67,8,46,0.4136666666666667,volatile,1.0,False,46,2,5,47,0.0009017999982461333
20260804_233332,t20ms_starting_position_dynamic_white,starting_position,0.02,15,15,white,dynamic,white,r1b1kb1r/ppp2ppp/5p2/8/4q3/5N2/PPP2PPP/R1B1KB1R w KQkq - 0 8,e1d2,Kd2,-1091,0.2,0.06698270002671053,0.036000000000000004,0.0006066000059945509,0.0355658000044059,0.03617439999652561,0.00017439999652560378,0.03080830003018492,2,3,True,139,39,4|53,0.5449999999999999,volatile,1.8,True,4,0,0,195,0.0
20260804_233332,t20ms_starting_position_dynamic_white,starting_position,0.02,16,16,black,fixed,white,r1b1kb1r/ppp2ppp/5p2/8/4q3/5N2/PPPK1PPP/R1B2B1R b kq - 1 8,e4f3,Qxf3,-1091,0.2,0.05924880002858118,0.02,0.0,0.020201000006636605,0.02020260000426788,0.00020260000426787841,0.039046200024313304,1,2,True,78,12,46,0.4086666666666667,volatile,1.0,False,46,2,10,42,0.000826000003144145
20260804_233332,t20ms_starting_position_dynamic_white,starting_position,0.02,17,17,white,dynamic,white,r1b1kb1r/ppp2ppp/5p2/8/8/5q2/PPPK1PPP/R1B2B1R w kq - 0 9,g2f3,gxf3,-172,0.2,0.03080830003018492,0.02580830003018492,0.0007838000019546598,0.025544399992213584,0.026330199994845316,0.000521899964660396,0.004478100035339605,2,3,True,94,17,19|67,0.38333333333333336,volatile,1.8,False,19,1,1,323,0.0
20260804_233332,t20ms_starting_position_dynamic_white,starting_position,0.02,18,18,black,fixed,white,r1b1kb1r/ppp2ppp/5p2/8/8/5P2/PPPK1P1P/R1B2B1R b kq - 0 9,f8b4,Bb4+,-122,0.2,0.039046200024313304,0.02,0.0,0.020012699998915195,0.020013799992739223,1.3799992739222527e-05,0.01903240003157408,2,3,True,83,25,26|56,0.30000000000000004,normal,1.0,False,26,0,1,987,0.0007378000009339303
20260804_233332,t20ms_starting_position_dynamic_white,starting_position,0.02,19,19,white,dynamic,white,r1b1k2r/ppp2ppp/5p2/8/1b6/5P2/PPPK1P1P/R1B2B1R w kq - 1 10,c2c3,c3,-122,0.2,0.004478100035339605,0.004478100035339605,0.0005944000004092231,0.004026100010378286,0.004623600005288608,0.00014549996994900338,0.0,1,2,True,12,0,5,0.418,volatile,1.8,True,5,0,0,68,0.0
20260804_233332,t20ms_starting_position_dynamic_white,starting_position,0.02,20,20,black,fixed,white,r1b1k2r/ppp2ppp/5p2/8/1b6/2P2P2/PP1K1P1P/R1B2B1R b kq - 0 10,b4c3,Bxc3+,-283,0.2,0.01903240003157408,0.01903240003157408,0.0,0.019042300002183765,0.01904400000057649,1.1599969002407118e-05,0.0,1,2,True,73,12,31,0.23333333333333334,normal,1.0,False,31,1,1,50,0.0009394000080646947
20260804_233332,t20ms_starting_position_dynamic_black,starting_position,0.02,1,1,white,fixed,black,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,g1f3,Nf3,61,0.2,0.2,0.02,0.0,0.020013499990454875,0.0200151999888476,1.5199988847598017e-05,0.1799848000111524,1,2,True,80,7,20,0.0,quiet,1.0,False,20,0,0,0,0.00036580000596586615
