experiment_timestamp,game_id,opening_name,base_time_per_move,engine_ply_index,total_ply_from_start,side,strategy,v2_colour,fen_before_move,move_uci,move_san,score_white_perspective,initial_clock,clock_before,remaining_move_capacity,stable_time_target,uncertain_time_target,unstable_time_target,final_policy_target,committed_time_limit,hard_time_cap,decision_time_charged,deadline_overrun,clock_after,completed_depth,attempted_depth,timed_out,stop_reason,policy_stopped_at_iteration_boundary,nodes,cutoffs,incomplete_iteration_nodes,incomplete_node_fraction,iteration_nodes,iteration_times,iteration_best_moves,iteration_scores,iteration_root_gaps,stability_class,time_multiplier,best_move_changed,absolute_score_change,observed_root_score_gap,instability_signal_count,stability_reason,predicted_next_iteration_time,prediction_time_growth,prediction_node_growth,prediction_clamped_growth
20260805_010412,sa100ms_starting_position_v2_white,starting_position,0.1,1,1,white,search_aware,white,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,g1f3,Nf3,0,8.0,8.0,80,0.08000000000000002,0.1,0.2,0.08000000000000002,0.1,0.2,0.02021699999750126,0.0,7.979783000002499,2,2,False,predicted_next_iteration_exceeds_target,True,106,18,0,0.0,20|86,0.004704300|0.015442200,g1f3|g1f3,61|0,0|0,stable,0.8,False,61,0,1,narrow_root_gap,0.06381799673550412,3.2825712667235125,4.3,3.7570009910713495
20260805_010412,sa100ms_starting_position_v2_white,starting_position,0.1,2,2,black,fixed,white,rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,g8f6,Nf6,61,8.0,8.0,80,0.08000000000000002,0.1,0.2,0.1,0.1,0.1,0.10002970001369249,2.9700013692485205e-05,7.8999702999863075,2,3,True,deadline_timeout,False,503,62,365,0.7256461232604374,20|118,0.003994900|0.023354300,g8f6|g8f6,0|61,0|0,stable,1.0,False,61,0,1,narrow_root_gap,0.15087456001405256,5.846028680018498,5.9,5.872952342060094
20260805_010412,sa100ms_starting_position_v2_white,starting_position,0.1,3,3,white,search_aware,white,rnbqkb1r/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 2 2,b1c3,Nc3,0,8.0,7.979783000002499,79,0.08000000000000002,0.1,0.2,0.08000000000000002,0.1,0.2,0.029350199998589233,0.0,7.9504328000039095,2,2,False,predicted_next_iteration_exceeds_target,True,141,19,0,0.0,22|119,0.005038200|0.024258600,b1c3|b1c3,61|0,7|0,stable,0.8,False,61,0,1,narrow_root_gap,0.1361807509022952,4.814933916463602,5.409090909090909,5.103372931250151
20260805_010412,sa100ms_starting_position_v2_white,starting_position,0.1,4,4,black,fixed,white,rnbqkb1r/pppppppp/5n2/8/8/2N2N2/PPPPPPPP/R1BQKB1R b KQkq - 3 2,b8c6,Nc6,52,8.0,7.8999702999863075,79,0.08000000000000002,0.1,0.2,0.1,0.1,0.1,0.10029719999874942,0.0002971999987494145,7.799673099987558,2,3,True,deadline_timeout,False,486,52,366,0.7530864197530864,22|98,0.004626600|0.019519100,b8c6|b8c6,0|52,7|1,stable,1.0,False,52,1,1,narrow_root_gap,0.09307929572804512,4.218886425777502,4.454545454545454,4.33511491787596
20260805_010412,sa100ms_starting_position_v2_white,starting_position,0.1,5,5,white,search_aware,white,r1bqkb1r/pppppppp/2n2n2/8/8/2N2N2/PPPPPPPP/R1BQKB1R w KQkq - 4 3,e2e3,e3,-24,8.0,7.9504328000039095,78,0.08000000000000002,0.1,0.2,0.2,0.1,0.2,0.07041980000212789,0.0,7.880013000001782,2,2,False,predicted_next_iteration_exceeds_target,True,335,20,0,0.0,24|311,0.005422800|0.064937800,d2d4|e2e3,52|-24,7|0,unstable,2.0,True,76,0,3,best_move_changed+large_score_change+narrow_root_gap,0.5714526399504394,11.974957599715196,12.958333333333334,8.0
20260805_010412,sa100ms_starting_position_v2_white,starting_position,0.1,6,6,black,fixed,white,r1bqkb1r/pppppppp/2n2n2/8/8/2N1PN2/PPPP1PPP/R1BQKB1R b KQkq - 0 3,e7e6,e6,44,8.0,7.799673099987558,78,0.08000000000000002,0.1,0.2,0.1,0.1,0.1,0.10019490000559017,0.00019490000559016507,7.699478199981968,2,3,True,deadline_timeout,False,425,35,190,0.4470588235294118,24|211,0.005769100|0.046043100,d7d5|e7e6,-24|44,7|2,uncertain,1.0,True,68,2,2,best_move_changed+narrow_root_gap,0.4051792799611576,7.980984906343679,8.791666666666666,8.0
20260805_010412,sa100ms_starting_position_v2_white,starting_position,0.1,7,7,white,search_aware,white,r1bqkb1r/pppp1ppp/2n1pn2/8/8/2N1PN2/PPPP1PPP/R1BQKB1R w KQkq - 0 4,f1d3,Bd3,-2,8.0,7.880013000001782,77,0.08000000000000002,0.1,0.2,0.1,0.1,0.2,0.05684140000084881,0.0,7.823171600000933,2,2,False,predicted_next_iteration_exceeds_target,True,227,27,0,0.0,31|196,0.007510500|0.049275800,f1c4|f1d3,44|-2,0|2,uncertain,1.0,True,46,2,2,best_move_changed+narrow_root_gap,0.34910492392001674,6.560921375617415,6.32258064516129,6.4406486089448824
20260805_010412,sa100ms_starting_position_v2_white,starting_position,0.1,8,8,black,fixed,white,r1bqkb1r/pppp1ppp/2n1pn2/8/8/2NBPN2/PPPP1PPP/R1BQK2R b KQkq - 1 4,h7h5,h5,61,8.0,7.699478199981968,77,0.08000000000000002,0.1,0.2,0.1,0.1,0.1,0.10004659999685828,4.6599996858270876e-05,7.59943159998511,2,3,True,deadline_timeout,False,363,25,60,0.1652892561983471,31|272,0.009122600|0.074235000,f8c5|h7h5,-2|61,0|4,uncertain,1.0,True,63,4,2,best_move_changed+narrow_root_gap,0.6532679999363609,8.137482727536552,8.774193548387096,8.0
20260805_010412,sa100ms_starting_position_v2_white,starting_position,0.1,9,9,white,search_aware,white,r1bqkb1r/pppp1pp1/2n1pn2/7p/8/2NBPN2/PPPP1PPP/R1BQK2R w KQkq - 0 5,h2h4,h4,-2,8.0,7.823171600000933,76,0.08000000000000002,0.1,0.2,0.1,0.1,0.2,0.06762249999155756,0.0,7.755549100009375,2,2,False,predicted_next_iteration_exceeds_target,True,258,33,0,0.0,36|222,0.008998400|0.058558900,f3e5|h2h4,61|-2,2|0,uncertain,1.0,True,63,0,2,best_move_changed+narrow_root_gap,0.40806057727541234,6.507701363080925,6.166666666666667,6.334889507507797
20260805_010412,sa100ms_starting_position_v2_white,starting_position,0.1,10,10,black,fixed,white,r1bqkb1r/pppp1pp1/2n1pn2/7p/7P/2NBPN2/PPPP1PP1/R1BQK2R b KQkq - 0 5,f8c5,Bc5,27,8.0,7.59943159998511,76,0.08000000000000002,0.1,0.2,0.1,0.1,0.1,0.10014249999949243,0.00014249999949242365,7.499289099985617,2,3,True,deadline_timeout,False,377,47,108,0.2864721485411141,31|238,0.008972900|0.062948900,f8c5|f8c5,-2|27,0|7,stable,1.0,False,29,7,1,narrow_root_gap,0.5081783057552206,7.015446508763398,7.67741935483871,7.338973007799917
20260805_010412,sa100ms_starting_position_v2_white,starting_position,0.1,11,11,white,search_aware,white,r1bqk2r/pppp1pp1/2n1pn2/2b4p/7P/2NBPN2/PPPP1PP1/R1BQK2R w KQkq - 1 6,b2b4,b4,-112,8.0,7.755549100009375,75,0.08000000000000002,0.1,0.2,0.2,0.1,0.2,0.05131969999638386,0.0,7.704229400012991,2,2,False,predicted_next_iteration_exceeds_target,True,179,34,0,0.0,36|143,0.010960300|0.040293100,f3e5|b2b4,27|-112,0|0,unstable,2.0,True,139,0,3,best_move_changed+large_score_change+narrow_root_gap,0.16937302930996181,3.6762771084719503,3.9722222222222223,3.8213858252365904
20260805_010412,sa100ms_starting_position_v2_white,starting_position,0.1,12,12,black,fixed,white,r1bqk2r/pppp1pp1/2n1pn2/2b4p/1P5P/2NBPN2/P1PP1PP1/R1BQK2R b KQkq - 0 6,c6b4,Nxb4,-61,8.0,7.499289099985617,75,0.08000000000000002,0.1,0.2,0.1,0.1,0.1,0.10014579999551643,0.0001457999955164213,7.399143299990101,2,3,True,deadline_timeout,False,373,41,229,0.613941018766756,36|108,0.010249600|0.027584100,c5e3|c6b4,-112|-61,22|6,uncertain,1.0,True,51,6,2,best_move_changed+narrow_root_gap,0.08621604206606454,2.691236729915407,3.0,2.841427491551777
20260805_010412,sa100ms_starting_position_v2_white,starting_position,0.1,13,13,white,search_aware,white,r1bqk2r/pppp1pp1/4pn2/2b4p/1n5P/2NBPN2/P1PP1PP1/R1BQK2R w KQkq - 0 7,d3c4,Bc4,-260,8.0,7.704229400012991,74,0.08000000000000002,0.1,0.2,0.2,0.1,0.2,0.08473670000967104,0.0,7.61949270000332,2,2,False,predicted_next_iteration_exceeds_target,True,316,30,0,0.0,36|280,0.010459700|0.074212300,f3e5|d3c4,-61|-260,0|8,unstable,2.0,True,199,8,3,best_move_changed+large_score_change+narrow_root_gap,0.6064216161583066,7.095069647317723,7.777777777777778,7.428584995454612
20260805_010412,sa100ms_starting_position_v2_white,starting_position,0.1,14,14,black,fixed,white,r1bqk2r/pppp1pp1/4pn2/2b4p/1nB4P/2N1PN2/P1PP1PP1/R1BQK2R b KQkq - 1 7,b4c2,Nxc2+,-260,8.0,7.399143299990101,74,0.08000000000000002,0.1,0.2,0.1,0.1,0.1,0.10002220000023954,2.2200000239530615e-05,7.299121099989861,1,2,True,deadline_timeout,False,365,27,329,0.9013698630136986,36,0.010944400,b4c2,-260,46,uncertain,1.0,,,46,0,insufficient_cross_depth_history,,,,
20260805_010412,sa100ms_starting_position_v2_white,starting_position,0.1,15,15,white,search_aware,white,r1bqk2r/pppp1pp1/4pn2/2b4p/2B4P/2N1PN2/P1nP1PP1/R1BQK2R w KQkq - 0 8,d1c2,Qxc2,54,8.0,7.61949270000332,73,0.08000000000000002,0.1,0.2,0.08000000000000002,0.1,0.2,0.012371400007396005,0.0,7.607121299995924,2,2,False,predicted_next_iteration_exceeds_target,True,40,2,0,0.0,3|37,0.000849300|0.011481900,d1c2|d1c2,176|54,366|335,stable,0.8,False,122,335,1,large_score_change,0.10104072000831367,13.519251054581213,12.333333333333334,8.0
20260805_010412,sa100ms_starting_position_v2_white,starting_position,0.1,16,16,black,fixed,white,r1bqk2r/pppp1pp1/4pn2/2b4p/2B4P/2N1PN2/P1QP1PP1/R1B1K2R b KQkq - 0 8,c5e3,Bxe3,54,8.0,7.299121099989861,73,0.08000000000000002,0.1,0.2,0.1,0.1,0.1,0.10033339999790769,0.00033339999790768515,7.198787699991954,1,2,True,deadline_timeout,False,371,18,339,0.9137466307277629,32,0.010321900,c5e3,54,74,uncertain,1.0,,,74,0,insufficient_cross_depth_history,,,,
20260805_010412,sa100ms_starting_position_v2_white,starting_position,0.1,17,17,white,search_aware,white,r1bqk2r/pppp1pp1/4pn2/7p/2B4P/2N1bN2/P1QP1PP1/R1B1K2R w KQkq - 0 9,f2e3,fxe3,392,8.0,7.607121299995924,72,0.08000000000000002,0.1,0.2,0.08000000000000002,0.1,0.2,0.04767110000830144,0.0,7.559450199987623,2,2,False,predicted_next_iteration_exceeds_target,True,192,48,0,0.0,49|143,0.014208900|0.033393700,f2e3|f2e3,440|392,0|0,stable,0.8,False,48,0,1,narrow_root_gap,0.0962009247517483,2.3501960036132634,2.9183673469387754,2.61891872265081
20260805_010412,sa100ms_starting_position_v2_white,starting_position,0.1,18,18,black,fixed,white,r1bqk2r/pppp1pp1/4pn2/7p/2B4P/2N1PN2/P1QP2P1/R1B1K2R b KQkq - 0 9,d7d5,d5,392,8.0,7.198787699991954,72,0.08000000000000002,0.1,0.2,0.1,0.1,0.1,0.10016929999983404,0.00016929999983403277,7.0986183999921195,1,2,True,deadline_timeout,False,382,16,357,0.9345549738219895,25,0.007901500,d7d5,392,9,uncertain,1.0,,,9,0,insufficient_cross_depth_history,,,,
20260805_010412,sa100ms_starting_position_v2_white,starting_position,0.1,19,19,white,search_aware,white,r1bqk2r/ppp2pp1/4pn2/3p3p/2B4P/2N1PN2/P1QP2P1/R1B1K2R w KQkq - 0 10,c2a4,Qa4+,367,8.0,7.559450199987623,71,0.08000000000000002,0.1,0.2,0.2,0.2,0.2,0.20018280000658706,0.0001828000065870472,7.359267399981036,2,3,True,deadline_timeout,False,778,60,606,0.7789203084832905,48|124,0.015691400|0.033697100,c3d5|c2a4,546|367,0|1,unstable,2.0,True,179,1,3,best_move_changed+large_score_change+narrow_root_gap,0.08730534897502261,2.147488434107374,2.5833333333333335,2.355351025808549
20260805_010412,sa100ms_starting_position_v2_white,starting_position,0.1,20,20,black,fixed,white,r1bqk2r/ppp2pp1/4pn2/3p3p/Q1B4P/2N1PN2/P2P2P1/R1B1K2R b KQkq - 1 10,b7b5,b5,547,8.0,7.0986183999921195,71,0.08000000000000002,0.1,0.2,0.1,0.1,0.1,0.10026229999493808,0.00026229999493807,6.9983560999971814,2,3,True,deadline_timeout,False,393,87,237,0.6030534351145038,7|149,0.002405300|0.039057600,c7c6|b7b5,367|547,2|10,unstable,1.0,True,180,10,3,best_move_changed+large_score_change+narrow_root_gap,0.3437068800558336,16.238140813716747,21.285714285714285,8.0
20260805_010412,sa100ms_starting_position_v2_white,starting_position,0.1,21,21,white,search_aware,white,r1bqk2r/p1p2pp1/4pn2/1p1p3p/Q1B4P/2N1PN2/P2P2P1/R1B1K2R w KQkq - 0 11,a4b5,Qxb5+,478,8.0,7.359267399981036,70,0.08000000000000002,0.1,0.2,0.1,0.1,0.2,0.10006179999618325,6.179999618324827e-05,7.259205599984853,2,3,True,deadline_timeout,False,405,53,263,0.6493827160493827,44|98,0.011961800|0.024621000,c4d5|a4b5,547|478,1|13,uncertain,1.0,True,69,13,2,best_move_changed+narrow_root_gap,0.05798820274216859,2.058302262096548,2.227272727272727,2.1411213167056653
20260805_010412,sa100ms_starting_position_v2_white,starting_position,0.1,22,22,black,fixed,white,r1bqk2r/p1p2pp1/4pn2/1Q1p3p/2B4P/2N1PN2/P2P2P1/R1B1K2R b KQkq - 0 11,c7c6,c6,661,8.0,6.9983560999971814,70,0.08000000000000002,0.1,0.2,0.1,0.1,0.1,0.10024710001016501,0.0002471000101650078,6.898108999987016,2,3,True,deadline_timeout,False,367,104,253,0.6893732970027248,6|108,0.002058700|0.030525300,c7c6|c7c6,478|661,11|22,uncertain,1.0,False,183,22,2,large_score_change+narrow_root_gap,0.26862263997318225,14.827463906539142,18.0,8.0
20260805_010412,sa100ms_starting_position_v2_white,starting_position,0.1,23,23,white,search_aware,white,r1bqk2r/p4pp1/2p1pn2/1Q1p3p/2B4P/2N1PN2/P2P2P1/R1B1K2R w KQkq - 0 12,b5c6,Qxc6+,602,8.0,7.259205599984853,69,0.08000000000000002,0.1,0.2,0.08000000000000002,0.1,0.2,0.03972739999881014,0.0,7.2194781999860425,2,2,False,predicted_next_iteration_exceeds_target,True,148,47,0,0.0,48|100,0.014314900|0.025341400,b5c6|b5c6,661|602,0|212,stable,0.8,False,59,212,0,no_instability_signal,0.053533275036853324,1.7702813146701313,2.0833333333333335,1.9204390311148751
20260805_010412,sa100ms_starting_position_v2_white,starting_position,0.1,24,24,black,fixed,white,r1bqk2r/p4pp1/2Q1pn2/3p3p/2B4P/2N1PN2/P2P2P1/R1B1K2R b KQkq - 0 12,e8e7,Ke7,1060,8.0,6.898108999987016,69,0.08000000000000002,0.1,0.2,0.1,0.1,0.1,0.10003130001132376,3.130001132375937e-05,6.798077699975693,2,3,True,deadline_timeout,False,394,94,273,0.6928934010152284,5|116,0.001939500|0.028315200,c8d7|e8e7,602|1060,7|5,unstable,1.0,True,458,5,3,best_move_changed+large_score_change+narrow_root_gap,0.24917376004159453,14.599226621414049,23.2,8.0
20260805_010412,sa100ms_starting_position_v2_white,starting_position,0.1,25,25,white,search_aware,white,r1bq3r/p3kpp1/2Q1pn2/3p3p/2B4P/2N1PN2/P2P2P1/R1B1K2R w KQ - 1 13,c6a8,Qxa8,714,8.0,7.2194781999860425,68,0.08000000000000002,0.1,0.2,0.08000000000000002,0.1,0.2,0.048288400008459575,0.0,7.171189799977583,2,2,False,predicted_next_iteration_exceeds_target,True,193,48,0,0.0,52|141,0.013174100|0.035047400,c6a8|c6a8,1060|714,159|93,stable,0.8,False,346,93,1,large_score_change,0.10354372854161344,2.6603259410522293,2.7115384615384617,2.68581014023546
