experiment_timestamp,game_id,opening_name,base_time_per_move,engine_ply_index,total_ply_from_start,side,strategy,v2_colour,fen_before_move,move_uci,move_san,score_white_perspective,initial_clock,clock_before,remaining_move_capacity,stable_time_target,uncertain_time_target,unstable_time_target,final_policy_target,committed_time_limit,hard_time_cap,decision_time_charged,deadline_overrun,clock_after,completed_depth,attempted_depth,timed_out,stop_reason,policy_stopped_at_iteration_boundary,nodes,cutoffs,incomplete_iteration_nodes,incomplete_node_fraction,iteration_nodes,iteration_times,iteration_best_moves,iteration_scores,iteration_root_gaps,stability_class,time_multiplier,best_move_changed,absolute_score_change,observed_root_score_gap,instability_signal_count,stability_reason,predicted_next_iteration_time,prediction_time_growth,prediction_node_growth,prediction_clamped_growth
20260805_005743,sa100ms_starting_position_v2_white,starting_position,0.1,11,11,white,search_aware,white,r1bqk2r/pppp1pp1/2n1pn2/2b4p/7P/2NBPN2/PPPP1PP1/R1BQK2R w KQkq - 1 6,b2b4,b4,-112,2.0,1.7593996999930823,15,0.08000000000000002,0.1,0.2,0.2,0.1,0.2,0.048155900003621355,0.0,1.711243799989461,2,2,False,predicted_next_iteration_exceeds_target,True,179,34,0,0.0,36|143,0.010373800|0.037720400,f3e5|b2b4,27|-112,0|0,unstable,2.0,True,139,0,3,best_move_changed+large_score_change+narrow_root_gap,0.15769029021295186,3.6361217681170923,3.9722222222222223,3.800458352622835
20260805_005743,sa100ms_starting_position_v2_white,starting_position,0.1,12,12,black,fixed,white,r1bqk2r/pppp1pp1/2n1pn2/2b4p/1P5P/2NBPN2/P1PP1PP1/R1BQK2R b KQkq - 0 6,c6b4,Nxb4,-61,2.0,1.4997048000077484,15,0.08000000000000002,0.1,0.2,0.1,0.1,0.1,0.10003010000218637,3.0100002186367325e-05,1.399674700005562,2,3,True,deadline_timeout,False,380,42,236,0.6210526315789474,36|108,0.010516500|0.026678500,c5e3|c6b4,-112|-61,22|6,uncertain,1.0,True,51,6,2,best_move_changed+narrow_root_gap,0.0809580075002858,2.5368230877193145,3.0,2.7587078973965227
20260805_005743,sa100ms_starting_position_v2_white,starting_position,0.1,13,13,white,search_aware,white,r1bqk2r/pppp1pp1/4pn2/2b4p/1n5P/2NBPN2/P1PP1PP1/R1BQK2R w KQkq - 0 7,d3c4,Bc4,-260,2.0,1.711243799989461,14,0.08000000000000002,0.1,0.2,0.2,0.1,0.2,0.08122950000688434,0.0,1.6300142999825766,2,2,False,predicted_next_iteration_exceeds_target,True,316,30,0,0.0,36|280,0.010842400|0.070324500,f3e5|d3c4,-61|-260,0|8,unstable,2.0,True,199,8,3,best_move_changed+large_score_change+narrow_root_gap,0.5494367660827124,6.486063967641879,7.777777777777778,7.102616714477149
20260805_005743,sa100ms_starting_position_v2_white,starting_position,0.1,14,14,black,fixed,white,r1bqk2r/pppp1pp1/4pn2/2b4p/1nB4P/2N1PN2/P1PP1PP1/R1BQK2R b KQkq - 1 7,c7c6,c6,16,2.0,1.399674700005562,14,0.08000000000000002,0.1,0.2,0.1,0.1,0.1,0.10010209999745712,0.00010209999745711129,1.299572600008105,2,3,True,deadline_timeout,False,373,28,7,0.01876675603217158,36|330,0.010512700|0.087338500,b4c2|c7c6,-260|16,46|4,unstable,1.0,True,276,4,3,best_move_changed+large_score_change+narrow_root_gap,0.7685788000118919,8.307903763108913,9.166666666666666,8.0
20260805_005743,sa100ms_starting_position_v2_white,starting_position,0.1,15,15,white,search_aware,white,r1bqk2r/pp1p1pp1/2p1pn2/2b4p/1nB4P/2N1PN2/P1PP1PP1/R1BQK2R w KQkq - 0 8,e1e2,Ke2,-228,2.0,1.6300142999825766,13,0.08000000000000002,0.1,0.2,0.2,0.1,0.2,0.07868760000565089,0.0,1.5513266999769257,2,2,False,predicted_next_iteration_exceeds_target,True,302,32,0,0.0,37|265,0.010748100|0.067877800,c4e6|e1e2,16|-228,72|2,unstable,2.0,True,244,2,3,best_move_changed+large_score_change+narrow_root_gap,0.5021581869948322,6.315330150585956,7.162162162162162,6.725430740561425
20260805_005743,sa100ms_starting_position_v2_white,starting_position,0.1,16,16,black,fixed,white,r1bqk2r/pp1p1pp1/2p1pn2/2b4p/1nB4P/2N1PN2/P1PPKPP1/R1BQ3R b kq - 1 8,d8c7,Qc7,3,2.0,1.299572600008105,13,0.08000000000000002,0.1,0.2,0.1,0.1,0.1,0.10024839999096002,0.00024839999096001875,1.199324200017145,2,3,True,deadline_timeout,False,376,30,9,0.023936170212765957,37|330,0.010036500|0.087414000,c5e3|d8c7,-228|3,20|1,unstable,1.0,True,231,1,3,best_move_changed+large_score_change+narrow_root_gap,0.7692432000767441,8.709609927941335,8.91891891891892,8.0
20260805_005743,sa100ms_starting_position_v2_white,starting_position,0.1,17,17,white,search_aware,white,r1b1k2r/ppqp1pp1/2p1pn2/2b4p/1nB4P/2N1PN2/P1PPKPP1/R1BQ3R w kq - 2 9,c4e6,Bxe6,3,2.0,1.5513266999769257,12,0.08000000000000002,0.1,0.2,0.1,0.1,0.2,0.1001070000056643,0.00010700000566429835,1.4512196999712614,1,2,True,deadline_timeout,False,356,23,319,0.8960674157303371,37,0.012065400,c4e6,3,76,uncertain,1.0,,,76,0,insufficient_cross_depth_history,,,,
20260805_005743,sa100ms_starting_position_v2_white,starting_position,0.1,18,18,black,fixed,white,r1b1k2r/ppqp1pp1/2p1Bn2/2b4p/1n5P/2N1PN2/P1PPKPP1/R1BQ3R b kq - 0 9,f7e6,fxe6,-335,2.0,1.199324200017145,12,0.08000000000000002,0.1,0.2,0.1,0.1,0.1,0.10026329998800065,0.00026329998800064813,1.0990609000291442,2,3,True,deadline_timeout,False,399,62,208,0.5213032581453634,44|147,0.012079200|0.034823100,f7e6|f7e6,-383|-335,0|0,stable,1.0,False,48,0,1,narrow_root_gap,0.11887952824055896,2.88289787151905,3.340909090909091,3.1034657573623177
20260805_005743,sa100ms_starting_position_v2_white,starting_position,0.1,19,19,white,search_aware,white,r1b1k2r/ppqp2p1/2p1pn2/2b4p/1n5P/2N1PN2/P1PPKPP1/R1BQ3R w kq - 0 10,c1b2,Bb2,-491,2.0,1.4512196999712614,11,0.08000000000000002,0.1,0.2,0.2,0.1,0.2,0.07560180001019035,0.0,1.375617899961071,2,2,False,predicted_next_iteration_exceeds_target,True,285,27,0,0.0,31|254,0.010076200|0.065470300,d2d4|c1b2,-335|-491,15|2,unstable,2.0,True,156,2,3,best_move_changed+large_score_change+narrow_root_gap,0.5254686414659575,6.497518910871824,8.193548387096774,7.29641936790263
20260805_005743,sa100ms_starting_position_v2_white,starting_position,0.1,20,20,black,fixed,white,r1b1k2r/ppqp2p1/2p1pn2/2b4p/1n5P/2N1PN2/PBPPKPP1/R2Q3R b kq - 1 10,c5e3,Bxe3,-491,2.0,1.0990609000291442,11,0.08000000000000002,0.1,0.2,0.1,0.1,0.1,0.10022280001430772,0.0002228000143077169,0.9988381000148365,1,2,True,deadline_timeout,False,346,9,302,0.8728323699421965,44,0.012362100,c5e3,-491,20,uncertain,1.0,,,20,0,insufficient_cross_depth_history,,,,
